TestCase,Step,Browser,Action,ActionBy,ActionLocation,ActionValue,Expect,ExpectBy,ExpectLocation,ExpectProperty,ExpectValue
test_0_0_1,0,chrome,OPEN_PAGE,,,http://baidu.com,,,,,
test_0_0_1,1,chrome,,,,,verify,id,su,value,百度一下
test_0_0_1,2,chrome,input_value,name,wd,abc,,,,,
test_0_0_1,3,chrome,click,id,su,,verify,LINK_TEXT,ABC_百度百科,text,ABC_百度百科
test_0_0_1,4,chrome,input_value,name,wd,ooo,,,,,
test_0_0_1,5,chrome,click,id,su,,,,,,
test_0_0_1,6,chrome,,,,,compare,id;tag_name,kw;em,value;text,
test_0_0_1,7,chrome,OPEN_PAGE,,web_page,test_page.html,,,,,
test_0_0_1,8,chrome,Switch_Frame,Xpath,//iframe[@src="inner_iframe.html"],,,,,,
test_0_0_1,9,chrome,Switch_Frame,tag_name,iframe,,,,,,
test_0_0_1,10,chrome,input_value,name,wd,abc,,,,,
test_0_0_1,11,chrome,click,id,su,百度一下,verify,LINK_TEXT,ABC_百度百科,text,ABC_百度百科
test_0_0_1,12,chrome,Switch_Default_Content,,,,,,,,
test_0_0_1,13,chrome,OPEN_NEW_PAGE,,,http://www.iqiyi.com/,,,,,
test_0_0_1,14,chrome,SWITCH_WINDOW,,,爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看,,,,,
test_0_0_1,15,chrome,click,LINK_TEXT,登录,,,,,,
